canonical_region_id,geometry_feature_id,legacy_region_id,geometry_source_id,geometry_source_name,geometry_snapshot_name,official_current_name_verified,region_type,current_province_id_verified,geometry_snapshot_province,kemendagri_code_verified,bps_code_verified,aliases,valid_from,valid_to,status,match_status,ambiguity_reason,geometry_boundary_version,metadata_source_version,source_access_date,notes
idn-adm2-gb-22746128b43339434023645,gb-22746128B43339434023645,gb-22746128B43339434023645,22746128B43339434023645,Aceh Utara,Kabupaten Aceh Utara,,Kabupaten,,Aceh,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b89220130199878,gb-22746128B89220130199878,gb-22746128B89220130199878,22746128B89220130199878,Agam,Kabupaten Agam,,Kabupaten,,Sumatera Barat,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b1117135414899,gb-22746128B1117135414899,gb-22746128B1117135414899,22746128B1117135414899,Alor,Kabupaten Alor,,Kabupaten,,Nusa Tenggara Timur,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b26461090721788,gb-22746128B26461090721788,gb-22746128B26461090721788,22746128B26461090721788,Asahan,Kabupaten Asahan,,Kabupaten,,Sumatera Utara,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b62198228854475,gb-22746128B62198228854475,gb-22746128B62198228854475,22746128B62198228854475,Asmat,Kabupaten Asmat,,Kabupaten,,Papua,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b76986430159502,gb-22746128B76986430159502,gb-22746128B76986430159502,22746128B76986430159502,Badung,Kabupaten Badung,,Kabupaten,,Bali,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b67876608948387,gb-22746128B67876608948387,gb-22746128B67876608948387,22746128B67876608948387,Balangan,Kabupaten Balangan,,Kabupaten,,Kalimantan Selatan,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b73297609500416,gb-22746128B73297609500416,gb-22746128B73297609500416,22746128B73297609500416,Bandung,Bandung,,unresolved,,,,,Bandung | Jawa Barat | 32.04; Kota Bandung | Jawa Barat | 32.73,,,ambiguous_metadata_unresolved,ambiguous_name,Geometry source stores name without province/type; multiple HDX ADM2 rows match. Not auto-assigned.,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-candidates-unresolved,2026-07-12,Do not assign official code/name/province without row-level evidence.
idn-adm2-gb-22746128b79756617117888,gb-22746128B79756617117888,gb-22746128B79756617117888,22746128B79756617117888,Bandung Barat,Kabupaten Bandung Barat,,Kabupaten,,Jawa Barat,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b48169474795911,gb-22746128B48169474795911,gb-22746128B48169474795911,22746128B48169474795911,Banggai,Kabupaten Banggai,,Kabupaten,,Sulawesi Tengah,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b2571336805106,gb-22746128B2571336805106,gb-22746128B2571336805106,22746128B2571336805106,Banggai Kepulauan,Kabupaten Banggai Kepulauan,,Kabupaten,,Sulawesi Tengah,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b78411617556279,gb-22746128B78411617556279,gb-22746128B78411617556279,22746128B78411617556279,Banggai Laut,Kabupaten Banggai Laut,,Kabupaten,,Sulawesi Tengah,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b27585215741432,gb-22746128B27585215741432,gb-22746128B27585215741432,22746128B27585215741432,Bangka,Kabupaten Bangka,,Kabupaten,,Kepulauan Bangka Belitung,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b47433230053131,gb-22746128B47433230053131,gb-22746128B47433230053131,22746128B47433230053131,Bangka Barat,Kabupaten Bangka Barat,,Kabupaten,,Kepulauan Bangka Belitung,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b19321376976921,gb-22746128B19321376976921,gb-22746128B19321376976921,22746128B19321376976921,Bangka Selatan,Kabupaten Bangka Selatan,,Kabupaten,,Kepulauan Bangka Belitung,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b66707258567489,gb-22746128B66707258567489,gb-22746128B66707258567489,22746128B66707258567489,Bangka Tengah,Kabupaten Bangka Tengah,,Kabupaten,,Kepulauan Bangka Belitung,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b23347682239441,gb-22746128B23347682239441,gb-22746128B23347682239441,22746128B23347682239441,Bangkalan,Kabupaten Bangkalan,,Kabupaten,,Jawa Timur,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b25936754669599,gb-22746128B25936754669599,gb-22746128B25936754669599,22746128B25936754669599,Bangli,Kabupaten Bangli,,Kabupaten,,Bali,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b79736905882971,gb-22746128B79736905882971,gb-22746128B79736905882971,22746128B79736905882971,Banjar,Banjar,,unresolved,,,,,Banjar | Kalimantan Selatan | 63.03; Kota Banjar | Jawa Barat | 32.79,,,ambiguous_metadata_unresolved,ambiguous_name,Geometry source stores name without province/type; multiple HDX ADM2 rows match. Not auto-assigned.,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-candidates-unresolved,2026-07-12,Do not assign official code/name/province without row-level evidence.
idn-adm2-gb-22746128b31481808975183,gb-22746128B31481808975183,gb-22746128B31481808975183,22746128B31481808975183,Banjarnegara,Kabupaten Banjarnegara,,Kabupaten,,Jawa Tengah,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b71175962379658,gb-22746128B71175962379658,gb-22746128B71175962379658,22746128B71175962379658,Bantaeng,Kabupaten Bantaeng,,Kabupaten,,Sulawesi Selatan,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b15956982783625,gb-22746128B15956982783625,gb-22746128B15956982783625,22746128B15956982783625,Bantul,Kabupaten Bantul,,Kabupaten,,Daerah Istimewa Yogyakarta,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b71070720422540,gb-22746128B71070720422540,gb-22746128B71070720422540,22746128B71070720422540,Banyu Asin,Kabupaten Banyu Asin,,Kabupaten,,Sumatera Selatan,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b18933963724988,gb-22746128B18933963724988,gb-22746128B18933963724988,22746128B18933963724988,Banyumas,Kabupaten Banyumas,,Kabupaten,,Jawa Tengah,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b51270543903443,gb-22746128B51270543903443,gb-22746128B51270543903443,22746128B51270543903443,Banyuwangi,Kabupaten Banyuwangi,,Kabupaten,,Jawa Timur,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b88870484763637,gb-22746128B88870484763637,gb-22746128B88870484763637,22746128B88870484763637,Barito Kuala,Kabupaten Barito Kuala,,Kabupaten,,Kalimantan Selatan,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b74191069780867,gb-22746128B74191069780867,gb-22746128B74191069780867,22746128B74191069780867,Barito Selatan,Kabupaten Barito Selatan,,Kabupaten,,Kalimantan Tengah,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b29529230943245,gb-22746128B29529230943245,gb-22746128B29529230943245,22746128B29529230943245,Barito Timur,Kabupaten Barito Timur,,Kabupaten,,Kalimantan Tengah,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b89680104320053,gb-22746128B89680104320053,gb-22746128B89680104320053,22746128B89680104320053,Barito Utara,Kabupaten Barito Utara,,Kabupaten,,Kalimantan Tengah,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b81694843903641,gb-22746128B81694843903641,gb-22746128B81694843903641,22746128B81694843903641,Barru,Kabupaten Barru,,Kabupaten,,Sulawesi Selatan,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b4894534477686,gb-22746128B4894534477686,gb-22746128B4894534477686,22746128B4894534477686,Batang,Kabupaten Batang,,Kabupaten,,Jawa Tengah,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b80000441774097,gb-22746128B80000441774097,gb-22746128B80000441774097,22746128B80000441774097,Batang Hari,Kabupaten Batang Hari,,Kabupaten,,Jambi,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b96384374000902,gb-22746128B96384374000902,gb-22746128B96384374000902,22746128B96384374000902,Batu Bara,Kabupaten Batu Bara,,Kabupaten,,Sumatera Utara,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b74302729610221,gb-22746128B74302729610221,gb-22746128B74302729610221,22746128B74302729610221,Bekasi,Bekasi,,unresolved,,,,,Bekasi | Jawa Barat | 32.16; Kota Bekasi | Jawa Barat | 32.75,,,ambiguous_metadata_unresolved,ambiguous_name,Geometry source stores name without province/type; multiple HDX ADM2 rows match. Not auto-assigned.,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-candidates-unresolved,2026-07-12,Do not assign official code/name/province without row-level evidence.
idn-adm2-gb-22746128b80009106787015,gb-22746128B80009106787015,gb-22746128B80009106787015,22746128B80009106787015,Belitung,Kabupaten Belitung,,Kabupaten,,Kepulauan Bangka Belitung,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b98690900191937,gb-22746128B98690900191937,gb-22746128B98690900191937,22746128B98690900191937,Belitung Timur,Kabupaten Belitung Timur,,Kabupaten,,Kepulauan Bangka Belitung,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b36840991830224,gb-22746128B36840991830224,gb-22746128B36840991830224,22746128B36840991830224,Belu,Kabupaten Belu,,Kabupaten,,Nusa Tenggara Timur,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b4257100474226,gb-22746128B4257100474226,gb-22746128B4257100474226,22746128B4257100474226,Bener Meriah,Kabupaten Bener Meriah,,Kabupaten,,Aceh,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b45456061674897,gb-22746128B45456061674897,gb-22746128B45456061674897,22746128B45456061674897,Bengkalis,Kabupaten Bengkalis,,Kabupaten,,Riau,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b96004883426087,gb-22746128B96004883426087,gb-22746128B96004883426087,22746128B96004883426087,Bengkayang,Kabupaten Bengkayang,,Kabupaten,,Kalimantan Barat,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b78254403614329,gb-22746128B78254403614329,gb-22746128B78254403614329,22746128B78254403614329,Bengkulu Selatan,Kabupaten Bengkulu Selatan,,Kabupaten,,Bengkulu,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b16836972822517,gb-22746128B16836972822517,gb-22746128B16836972822517,22746128B16836972822517,Bengkulu Tengah,Kabupaten Bengkulu Tengah,,Kabupaten,,Bengkulu,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b39887218554518,gb-22746128B39887218554518,gb-22746128B39887218554518,22746128B39887218554518,Bengkulu Utara,Kabupaten Bengkulu Utara,,Kabupaten,,Bengkulu,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b34069275840087,gb-22746128B34069275840087,gb-22746128B34069275840087,22746128B34069275840087,Berau,Kabupaten Berau,,Kabupaten,,Kalimantan Timur,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b19254678251292,gb-22746128B19254678251292,gb-22746128B19254678251292,22746128B19254678251292,Biak Numfor,Kabupaten Biak Numfor,,Kabupaten,,Papua,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b14082340634491,gb-22746128B14082340634491,gb-22746128B14082340634491,22746128B14082340634491,Bima,Bima,,unresolved,,,,,Bima | Nusa Tenggara Barat | 52.06; Kota Bima | Nusa Tenggara Barat | 52.72,,,ambiguous_metadata_unresolved,ambiguous_name,Geometry source stores name without province/type; multiple HDX ADM2 rows match. Not auto-assigned.,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-candidates-unresolved,2026-07-12,Do not assign official code/name/province without row-level evidence.
idn-adm2-gb-22746128b62804497316712,gb-22746128B62804497316712,gb-22746128B62804497316712,22746128B62804497316712,Bintan,Kabupaten Bintan,,Kabupaten,,Kepulauan Riau,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
idn-adm2-gb-22746128b71427834061478,gb-22746128B71427834061478,gb-22746128B71427834061478,22746128B71427834061478,Bireuen,Kabupaten Bireuen,,Kabupaten,,Aceh,,,,2020-01-01,,geometry_snapshot_metadata_only,matched_unique_name,,IDN-ADM2-2020-geoboundaries-22746128,HDX-COD-AB-2020-geometry-metadata,2026-07-12,Metadata values are retained as 2020 geometry-snapshot metadata only; current official name/province/code fields stay blank until row-level evidence is committed.
